,name,rate,price
0,هندزفری بلوتوثی مدل  inpods 12,۳.۹,"۱۲۵,۰۰۰"
1,هندزفری بلوتوثی هایلو مدل GT6,۴.۲,"۵۷۹,۰۰۰"
2,هندزفری بلوتوثی مدل M10,۴,"۲۲۸,۶۵۰"
3,هندزفری بلوتوثی  مدل inpods 3,۳.۹,"۴۲۵,۰۰۰"
4,هندزفری بلوتوثی کیو سی وای مدل T17,۴.۳,"۴۶۹,۰۰۰"
5,هندزفری بلوتوثی اکسیژن مدل B3,۴.۱,"۱۹۷,۰۰۰"
6,هندزفری بلوتوثی لنوو مدل QE03,۴,"۱۴۵,۷۰۰"
7,هندزفری بلوتوثی کلومن پلاس مدل +K-TW2,-1,"۱,۴۵۰,۰۰۰"
8,هندزفری بلوتوثی شیائومی مدل FAR EARPHONE NECBAND BASIC TWS BT,۴.۵,"۱,۰۷۰,۰۰۰"
9,هندزفری بلوتوثی تسکو مدل TH 5332,۴.۳,"۹۲۷,۰۰۰"
10,هندزفری بلوتوثی انکر مدل Soundcore R100,۴.۲,"۱,۱۵۰,۰۰۰"
11,هندزفری بلوتوثی وان مور مدل ComfoBuds Pro ES901,۴.۱,"۱,۸۶۵,۷۴۰"
12,هندزفری بلوتوثی کیو سی وای مدل T13 new version,۴.۵,"۷۴۹,۰۰۰"
13,هندزفری بلوتوثی انکر مدلSoundcore R500,۴.۲,"۸۵۰,۰۰۰"
14,هندزفری بلوتوثی مدل EF i18 TWS,۴,"۱۵۹,۰۸۰"
15,هندزفری بلوتوثی کیو سی وای مدل HAL MELOBUDS T17 APTX GLOBAL,-1,"۵۸۰,۰۰۰"
16,هندزفری بلوتوثی کیو سی وای مدل SDE EARPHONE T13 GLOBAL POWER PALNT,۴.۴,"۷۲۲,۰۰۰"
17,هندزفری بلوتوثی مدل F9 With Speaker,۳,"۶۱۵,۰۰۰"
18,هندزفری بلوتوثی شیائومی مدل Earphone 2 Basic,۳.۹,"۸۳۰,۰۰۰"
19,هندزفری بلوتوثی مدل M19,۳.۹,"۲۵۵,۹۰۰"
20,هندزفری بلوتوثی کیو سی وای مدل SDE EARPHONE T13 GLOBAL POWER PALNT,۴.۴,"۷۲۲,۰۰۰"
21,هندزفری بلوتوثی مدل AirPods 2,۴.۵,"۵۱۹,۰۰۰"
22,هندزفری بلوتوثی مدل BTH-F9-5,۳.۹,"۲۱۴,۰۰۰"
23,هندزفری بلوتوثی کلومن پلاس مدل +K-TW1,۲,"۱,۲۴۹,۰۰۰"
24,هندزفری بلوتوثی مدل M19,۳.۹,"۲۵۵,۹۰۰"
25,هندزفری بلوتوثی لنوو مدل ZRE POP UP XT85 APTX 2022,۳.۸,"۵۹۰,۰۰۰"
26,هندزفری بلوتوثی اکسیژن مدل B2,۳.۶,"۱۸۸,۰۰۰"
27,هندزفری بلوتوثی تسکو مدل TH 5359 TWS,۳.۴,"۱,۱۳۸,۰۰۰"
28,هندزفری بلوتوثی کلومن پلاس مدل +K-TW3,۲.۵,"۱,۶۹۹,۰۰۰"
29,هندزفری بلوتوثی اونیکوما مدل T33,۴.۳,"۵۲۵,۰۰۰"
30,هندزفری بلوتوثی کلومن مدل KB-T255,۴.۷,"۳۹۸,۰۰۰"
31,هندزفری بلوتوثی کیو سی وای مدل HAL GLOBAL VERSION T13 HI-FI 2022,۴.۵,"۶۷۲,۰۰۰"
32,هندزفری بلوتوثی لنوو مدل QE03 Neckband Bluetooth Earphone,۳.۱,"۲۶۵,۰۰۰"
33,هندزفری بلوتوثی اکسیژن مدل E2,۳.۷,"۳۸۰,۰۰۰"
34,هندزفری بلوتوثی تسکو مدل TH 5393,۴.۲,"۲۰۹,۰۰۰"
35,هندزفری بلوتوثی ایکس-انرژی مدل X-03,۴.۴,"۱,۱۶۰,۰۰۰"
36,هندزفری بلوتوثی گوگل  مدل Pixel Buds A Series,۴.۲,"۴,۹۹۰,۰۰۰"
37,هندزفری بلوتوثی اکسیژن مدل E1,۴.۵,"۴۲۰,۰۰۰"
38,هندزفری بلوتوثی هایلو مدل HAM T15 HEADPHONENEW,-1,"۷۹۵,۰۰۰"
39,هندزفری بلوتوثی تسکو مدل TH 5390,۳.۳,"۴۶۰,۰۰۰"
40,هندزفری بلوتوثی تسکو مدل TH 5397,۴.۲,"۲۴۲,۰۰۰"
41,هندزفری بلوتوثی ساندپیتز مدل عینک آفتابی کد Frame S,-1,"۴,۲۰۰,۰۰۰"
42,هندزفری بلوتوثی اکسیژن مدل E3,۴.۴,"۵۷۰,۰۰۰"
43,هندزفری بلوتوثی مدل a120,۴.۲,"۹۵,۶۹۰"
44,هندزفری بلوتوثی لیتو مدل LB-011,۳.۹,"۴۶۰,۰۰۰"
45,هندزفری بلوتوثی مدل airpod pro,۴,"۳۳۰,۰۰۰"
46,هندزفری بلوتوثی تسکو مدل TH 5390,۳.۳,"۴۶۰,۰۰۰"
47,هندزفری بلوتوثی لیتو مدل LT-3,۳.۸,"۸۰۰,۰۰۰"
48,هندزفری بلوتوثی باسئوس مدل BoWie E8,۳.۸,"۱,۱۸۸,۰۰۰"
49,هندزفری بلوتوثی اوی مدل A888BL,۴.۳,"۵۸۹,۵۰۰"
50,هندزفری بلوتوثی مدل 158 ایرپاد پرو,۴,"۵۹۸,۰۰۰"
51,هندزفری بلوتوثی مدل (AirPods Pro (ANC,۳.۲,"۴۹۰,۰۰۰"
52,هندزفری بلوتوثی اکسین مدل B3,-1,"۴۲۰,۰۰۰"
