,name,rate,price
0,هندزفری بلوتوثی مدل  inpods 12,۳.۹,"۱۲۵,۰۰۰"
1,هندزفری بلوتوثی مدل BTH-F9-5,۳.۹,"۲۱۹,۸۰۰"
2,هدفون بی سیم مدل InPods Proi,-1,"۴۸۵,۰۰۰"
3,هدست بلوتوثی مدل inpods Pro,-1,"۴۲۵,۰۰۰"
4,هندزفری بلوتوثی لیتو مدل LT7,۳.۸,"۸۹۵,۰۰۰"
5,هندزفری بلوتوثی مدل M10,۴,"۲۲۸,۰۰۰"
6,هندزفری بلوتوثی شیائومی مدل Redmi Buds 3 Lite Global Pack,۳.۹,"۷۵۳,۰۰۰"
7,هندزفری بلوتوثی کلومن مدل K - G185,۳.۴,"۳۹۹,۰۰۰"
8,هندزفری بلوتوثی مدل XY-30,۳.۸,"۶۹۹,۰۰۰"
9,هندزفری بلوتوثی هایلو مدل GT6,۴.۲,"۵۷۹,۰۰۰"
10,هندزفری بلوتوثی  مدل inpods 3,۳.۹,"۴۲۵,۰۰۰"
11,هندزفری بلوتوثی لیتو مدل LT6,۳.۴,"۷۹۵,۰۰۰"
12,هندزفری بلوتوثی کیو سی وای مدل T17,۴.۳,"۴۶۹,۰۰۰"
13,هندزفری بلوتوثی مدل ایرپاد 2,۳.۹,"۴۶۰,۱۷۰"
14,هندزفری بلوتوثی شیائومی مدل Pro35.2,۲.۷,"۳۶۹,۰۰۰"
15,هندزفری بلوتوثی لیتو مدل LB-8,۴,"۵۹۵,۰۰۰"
16,هندزفری بلوتوثی مدل ایرپاد پرو3,۲.۶,"۳۹۶,۲۰۰"
17,هندزفری بلوتوثی مدل K24,۴.۳,"۶۱۷,۰۰۰"
18,هندزفری بلوتوثی اکسیژن مدل B3,۴.۱,"۱۹۷,۰۰۰"
19,هندزفری بلوتوثی لیتو مدل LT-15,۳.۵,"۹۹۵,۰۰۰"
20,هندزفری بلوتوثی لنوو مدل QE03,۴,"۱۵۳,۰۰۰"
21,هندزفری بلوتوثی مدل i7,۳.۳,"۵۸,۹۰۰"
22,هندزفری بلوتوثی لنوو مدل New QT-81,۳.۷,"۵۴۵,۰۰۰"
23,هندزفری بلوتوثی لنوو مدل HQ08,۴,"۶۷۰,۰۱۰"
24,هندزفری بلوتوثی هایلو مدل GT7 Neo,۳,"۹۱۱,۳۹۰"
25,هندزفری بلوتوثی شیائومی مدل buds 3,۳.۹,"۱,۰۰۰,۰۰۰"
26,هندزفری بلوتوثی کلومن مدل BK - G255,۴.۲,"۵۹۹,۰۰۰"
27,هندزفری بلوتوثی رسی مدل REP-W48,۴.۳,"۱,۴۵۲,۰۰۰"
28,هندزفری بلوتوثی مدل i7,۳.۳,"۵۸,۹۰۰"
29,هندزفری بلوتوثی لنوو مدل NECkBAND HE05,۴,"۱۳۰,۰۰۰"
30,هندزفری بلوتوثی مدل M10 V5.1,۳.۸,"۲۲۷,۵۰۰"
31,هندزفری بلوتوثی کلومن پلاس مدل +K-TW2,-1,"۱,۴۵۰,۰۰۰"
32,هندزفری بلوتوثی شیائومی مدل Airdots pro,۱.۶,"۳۷۳,۵۱۰"
33,هندزفری بلوتوثی انکر مدل Soundcore R100,۴.۲,"۱,۱۵۰,۰۰۰"
34,هندزفری بلوتوثی شیائومی مدل Air 2S,۳.۵,"۱,۵۵۰,۰۰۰"
35,هندزفری بلوتوثی وان مور مدل ComfoBuds Pro ES901,۴.۱,"۱,۸۶۵,۷۴۰"
36,هندزفری بلوتوثی شیائومی مدل FAR EARPHONE NECBAND BASIC TWS BT,۴.۵,"۱,۰۷۰,۰۰۰"
37,هندزفری بلوتوثی شیائومی مدل Air 2 Pro,۴.۴,"۲,۵۵۰,۰۰۰"
38,هندزفری بلوتوثی بنگ اند آلفسن مدل BeoSound EQ,-1,"۲۴,۰۰۰,۰۰۰"
39,هندزفری بلوتوثی کیو سی وای مدل HT03,۴.۱,"۸۵۹,۰۰۰"
40,هندزفری بلوتوثی مدل pro6,۴.۲,"۲۰۸,۰۰۰"
41,هندزفری بلوتوثی شیائومی مدل Airdotspro0.5,۱,"۳۸۳,۰۰۰"
42,هندزفری بلوتوثی شیائومی مدل Air 2S,۳.۵,"۱,۵۵۰,۰۰۰"
43,هندزفری بلوتوثی لنوو مدل XE05 Light,۴.۱,"۲۸۵,۰۰۰"
44,هندزفری بلوتوثی شیائومی مدل Air 2 Pro,۴.۴,"۲,۵۵۰,۰۰۰"
45,هندزفری بلوتوثی هایلو مدل MEH BLUETOTH GT7 SERIESS,۴.۵,"۹۳۱,۰۰۰"
46,هندزفری بلوتوثی مدل pro6,۴.۲,"۲۰۸,۰۰۰"
47,هندزفری بلوتوثی شیائومی مدل SOK AIR ADF DOST3 2022,۲.۹,"۶۵۰,۰۰۰"
48,هندزفری بلوتوثی مدل ایرپاد3,۲.۴,"۳۳۹,۰۰۰"
49,هندزفری بلوتوثی شیائومی مدل Airdotspro0.5,۱,"۳۸۳,۰۰۰"
50,هندزفری بلوتوثی انکر مدلSoundcore R500,۴.۲,"۸۵۰,۰۰۰"
51,هندزفری بلوتوثی زیلوت مدل AirPods Pro,۳.۴,"۹۹۰,۰۰۰"
52,هندزفری بلوتوثی سامسونگ مدل AB-JPP LEVEL U PRO,۳.۵,"۲۷۲,۰۰۰"
53,هندزفری بلوتوثی مدل EF i18 TWS,۴,"۱۵۹,۰۸۰"
54,هندزفری بلوتوثی لنوو مدل HE05 Turbo Bass,۴,"۲۴۴,۰۰۰"
55,هندزفری بلوتوثی مدل TWS F9-5C V 5.3,۴,"۲۶۷,۹۰۰"
56,هندزفری بلوتوثی وان مور مدل EHS PISTON BUDS,۴.۲,"۸۰۹,۹۵۰"
57,هندزفری بلوتوثی مدل inpods 12,۳.۹,"۱۴۹,۰۰۰"
58,هندزفری بلوتوثی مدل F9 With Speaker,۳,"۶۱۵,۰۰۰"
59,هندزفری بلوتوثی شیائومی مدل Earphone 2 Basic,۳.۹,"۸۳۰,۰۰۰"
60,هندزفری بلوتوثی شیائومی مدل P3new,۱.۸,"۳۹۸,۰۰۰"
61,هندزفری بلوتوثی شیائومی مدل SAE Redmi Buds 3,۳.۵,"۱,۰۰۰,۰۰۰"
62,هندزفری بلوتوثی اسکال کندی مدل Dime True Wireless,۴,"۱,۴۵۰,۴۰۰"
63,هندزفری بلوتوثی لنوو مدل QE03 Turdo Bass,۴.۳,"۲۹۹,۰۰۰"
64,هندزفری بلوتوثی کیو سی وای مدل HAL MELOBUDS T17 APTX GLOBAL,-1,"۵۸۰,۰۰۰"
65,هندزفری بلوتوثی مدل F9 With Speaker,۳,"۶۱۵,۰۰۰"
66,هندزفری بلوتوثی شیائومی مدل Earphone 2 Basic,۳.۹,"۸۳۰,۰۰۰"
67,هندزفری بلوتوثی کیو سی وای مدل SDE EARPHONE T13 GLOBAL POWER PALNT,۴.۴,"۷۲۲,۰۰۰"
68,هندزفری بلوتوثی نوکیا مدل E3103,۴,"۹۹۰,۰۰۰"
69,هندزفری بلوتوثی شیائومی مدل Earbuds BasicAir2s2022,۳,"۸۸۰,۰۰۰"
70,هندزفری بلوتوثی تسکو مدل TH 5353 TWS,۳.۹,"۹۹۵,۰۰۰"
71,هندزفری بلوتوثی شیائومی مدل SAE Redmi Buds 3,۳.۵,"۱,۰۰۰,۰۰۰"
72,هندزفری بلوتوثی مدل AirPods 2,۴.۵,"۵۱۹,۰۰۰"
73,هندزفری بلوتوثی نوکیا مدل E3101,۴.۱,"۸۴۶,۰۰۰"
74,هندزفری بلوتوثی نوکیا مدل Lite Earbuds BH-205,۳.۸,"۹۹۹,۰۰۰"
