Name,Review_Counts,Stars_Number
Le Comptoir de la Gastronomie,1214,4.5
Bistro des Augustins,461,4.5
L’Avant Comptoir,643,4.5
La Régalade,95,4.5
La Coïncidence,507,4.5
L’As du Fallafel,1905,4.5
Gambino,223,4.5
Le Bistro du Périgord,364,4.5
Baguett’s Café,215,4.5
Angelina,1450,4.0
Le Temps des Cerises,366,4.5
Chez Fernand,213,4.5
Les Antiquaires,423,4.5
La Cordonnerie,90,4.5
L’Escargot,243,4.0
Sanukiya,368,4.5
Victoires,240,4.0
La Fontaine de Mars,307,4.5
Gemini,39,4.5
Le Petit Canard,199,4.5
Frenchie Restaurant,224,4.5
Café Blanc,45,4.5
La Jacobine,311,4.5
Le Relais de l’Entrecôte,474,4.0
万食如意 Fresh Noodles,59,4.5
Le Bistrot des Vosges,60,4.5
Le P’tit Bistro,17,5.0
Pain Vin Fromages,257,4.5
Le Relais de l’Entrecôte,536,4.0
Les Artizans,27,4.5
Maison Rouge,29,4.0
La Droguerie du Marais,218,4.5
Le Comptoir,124,4.5
Le Petit Canard,199,4.5
L’Alsacien,68,4.5
LouLou,50,4.0
Ober Mamma,289,4.5
Le Café,63,4.5
Chez Janou,559,4.0
Les Cocottes,538,4.0
Le Poulailler,6,4.5
Crêperie Saint Eustache,52,4.5
Le Train Bleu,293,4.0
Café Louise,61,4.0
Kodawari Ramen,42,4.5
L’Auberge Café,34,4.0
Grenouilles,46,5.0
Guy Savoy,81,4.5
Girafe,87,3.5
La Tour de Montlhéry ou chez Denise,112,4.0
Café de Paris,71,4.0
L’îlot,64,4.5
Chez Mademoiselle,110,4.5
Café Saint-Régis,174,4.0
Les Philosophes,352,4.0
L’Auberge du Louvre,26,4.0
Le Porte Pot,134,4.5
Le Comptoir,446,4.0
Septime,144,4.5
Le Boui Boui,61,4.5
Derrière,129,4.0
Café Louise,96,4.0
Les Petites Bouchées,70,4.5
Le Soufflé,297,4.0
Bien Élevé,13,4.5
Langousta,38,5.0
Bouillon Chartier,993,3.5
Shakespeare and Company,327,4.5
La Poule au Pot,115,4.0
La French Guinguette,14,5.0
Bistrot Richelieu,192,4.0
Bistrot Vivienne,68,4.0
L’Epicure,166,4.5
Les Papilles,256,4.5
La Grange aux Canards,18,4.5
Le Potager du Père Thierry,447,4.5
Poulette,57,4.0
Enza & Famiglia Trattoria Pasta,48,4.5
Le Jules Verne,43,4.0
Le Brun,8,5.0
Le Jules Verne,43,4.0
Le Brun,8,5.0
Le Pas Sage,47,4.5
East Mamma,252,4.5
Chez le Libanais,188,4.5
Pedzouille,25,4.5
Ô Chateau,158,4.5
Heureux Comme Alexandre,116,4.5
La Cave Gourmande,363,4.5
Monsieur Bleu,180,4.0
La Maison de la Truffe,98,4.5
La Fresque,79,4.0
Matamata Coffee Bar,90,4.5
Le Mazenay,10,4.5
Le Bon Pêcheur,15,4.0
Au Petit Village,12,5.0
Pho 14 Opera,92,4.0
Le Petit Châtelet,136,4.0
L’Aller Retour,77,4.5
Chez Gladines,232,4.0
Tour d’Argent,148,4.0
Kitchen,228,4.5
Ellsworth,118,4.5
La Seine Café,4,5.0
Mystery Cuisine,11,5.0
Happy Caffé,81,5.0
Janine loves Sunday,59,4.5
Paul,29,4.5
Le Louis,33,4.5
Odette,6,4.5
Miznon,181,4.5
Robert et Louise,344,4.0
Bouillon Pigalle,107,3.5
Café Madame,11,4.5
Ma Salle à Manger,62,4.0
Gumbo Yaya,71,4.0
Café de la Régence,33,4.0
Restaurant le Meurice Alain Ducasse,88,4.0
Cézembre,17,5.0
Restaurant de la Tour,57,5.0
Restaurant de la Tour,57,5.0
Il Etait un Square,44,5.0
Le Gabriel,18,5.0
Gigi,20,4.5
Le Cirque,12,4.0
Le Bon Georges,56,4.5
Le Relais du Louvre,14,4.0
Le Bistro Lyonnais,16,4.5
Eggs & Co,378,4.5
Sunday in Soho,16,4.5
L’Atelier de Joël Robuchon,394,4.0
Anticafé,41,4.5
Itacate,45,4.0
Boulettes,49,4.5
Balagan,68,4.5
Ippudo Louvre,75,4.0
